job_id,job_title,job_location,job_schedule_type,salary_year_avg,job_posted_date,company_name
551617,Geographic Information Systems Analyst - GIS Analyst,"New York, NY",Full-time,585000.0,2023-12-27 18:00:12,ReServe
601528,"Engineering Data Scientist, Ad Ranking","New York, NY",Full-time,350000.0,2023-01-15 06:02:41,Snap Inc
470044,Principal Data Scientist,"New York, NY",Full-time,350000.0,2023-03-04 08:03:26,UBS
51177,Director - Business Data Science,"New York, NY",Full-time,314000.0,2023-06-22 16:03:08,Figma
123805,Director of Data Science,"New York, NY",Full-time,275000.0,2023-07-12 15:02:30,Nord Group
939315,"Engineering Data Scientist, Ad Ranking (Greater NYC Area, NY)","New York, NY",Full-time,265500.0,2023-03-27 17:05:16,Snap Inc.
1754771,Chief Data Scientist - Adtech,"New York, NY",Full-time,265000.0,2023-03-07 11:04:27,expand group
1591629,"Data Scientist, Dependency Planning","New York, NY",Full-time,259000.0,2023-09-04 10:02:32,Asana
310226,Principal Data Scientist - BCG X & BCG Fed,"New York, NY",Full-time,253000.0,2023-11-19 11:01:33,Boston Consulting Group
69856,Full Stack Data Scientist,"New York, NY",Full-time,250000.0,2023-09-21 14:01:57,Oakridge Staffing
